route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
8488,9,筲箕灣,"石澳(經大浪灣, 不經鶴咀)",CTB-9-I,石澳,筲箕灣,swapped,1.000,0.200,0.600,
1000256,793,將軍澳工業邨,蘇屋(經消防及救護學院),CTB-793-I,蘇屋,將軍澳工業邨,swapped,1.000,0.200,0.600,
1895,S52P,東涌(逸東邨公共運輸總站),駿坪路(亞洲空運中心)(循環線),CTB-S52P-O,東涌 (逸東邨),駿坪路 (亞洲空運中心),forward,0.455,0.750,0.602,
8113,14,嘉亨灣,赤柱廣場(循環線)(經赤柱村、赤柱炮台、赤柱監獄),CTB-14-I,赤柱炮台 (閘口)／馬坑,嘉亨灣,swapped,1.000,0.211,0.605,
1686,722,耀東邨,中環(交易廣場)(循環線),CTB-722-I,中環碼頭,耀東邨,swapped,1.000,0.222,0.611,
1775,720,嘉亨灣,中環 (永和街)(循環線),CTB-720-I,中環 (港澳碼頭 / 永和街),嘉亨灣,swapped,1.000,0.222,0.611,
8486,9,筲箕灣,石澳(經鶴咀及大浪灣),CTB-9-I,石澳,筲箕灣,swapped,1.000,0.222,0.611,
1000089,608P,小西灣(藍灣半島),啟德(AIRSIDE),CTB-608P-I,啟德,小西灣 (藍灣半島),swapped,1.000,0.222,0.611,
1806,A12,小西灣(藍灣半島),機場(經西環/國泰城/民航處總部),CTB-A12-I,機場 (經港珠澳大橋香港口岸),小西灣 (藍灣半島),swapped,1.000,0.231,0.615,
1601,71P,深灣公共交通總站,中環碼頭,CTB-71P-O,深灣,中環碼頭,forward,0.250,1.000,0.625,
1604,72A,深灣公共交通總站,銅鑼灣(摩頓台),CTB-72A-I,銅鑼灣 (摩頓台),深灣,swapped,0.250,1.000,0.625,
1743,15,中環(中環渡輪碼頭),山頂,CTB-15-I,山頂,中環,swapped,0.250,1.000,0.625,
8112,14,嘉亨灣,赤柱監獄(經赤柱村),CTB-14-I,赤柱炮台 (閘口)／馬坑,嘉亨灣,swapped,1.000,0.250,0.625,
8427,A20,紅磡站,機場(地面運輸中心),CTB-A20-I,機場,紅磡站,swapped,1.000,0.250,0.625,
8483,12A,金鐘(添馬街),麥當奴道(循環線)(不經遮打道),CTB-12A-O,金鐘 (添馬街),麥當勞道,forward,1.000,0.250,0.625,
1000079,A29,將軍澳(寶琳),機場(經博覽館),CTB-A29-I,機場 (經港珠澳大橋香港口岸),將軍澳 (寶琳),swapped,1.000,0.250,0.625,
1000264,91,利東邨,中環碼頭,CTB-91-I,中環碼頭,鴨脷洲邨,swapped,0.250,1.000,0.625,
1000460,A26,油塘,機場(經航天城東路),CTB-A26-I,機場 (經港珠澳大橋香港口岸),油塘,swapped,1.000,0.250,0.625,
1000462,A26,油塘,機場(經國泰城),CTB-A26-I,機場 (經港珠澳大橋香港口岸),油塘,swapped,1.000,0.250,0.625,
1000463,A26,油塘,機場(經國泰城及航天城東路),CTB-A26-I,機場 (經港珠澳大橋香港口岸),油塘,swapped,1.000,0.250,0.625,
1000456,A28,日出康城,機場(經國泰城),CTB-A28-I,機場 (經港珠澳大橋香港口岸),日出康城,swapped,1.000,0.250,0.625,
1000457,A28,日出康城,機場(經國泰城及航天城東路),CTB-A28-I,機場 (經港珠澳大橋香港口岸),日出康城,swapped,1.000,0.250,0.625,
1000603,580,西沙GO PARK,沙田市中心,CTB-580-I,沙田市中心,西沙灣,swapped,0.250,1.000,0.625,
1000655,587,西沙GO PARK,尖沙咀(麼地道),CTB-587-I,尖沙咀(麼地道),西沙灣(經:大圍),swapped,0.250,1.000,0.625,
1000204,930B,葵盛圍,銅鑼灣(摩頓台)(不經葵芳),CTB-930B-O,葵盛 (東),銅鑼灣 (摩頓台),forward,0.667,0.600,0.633,
1000274,76,黃竹坑站,銅鑼灣(邊寧頓街)(循環線),CTB-76-I,銅鑼灣 (邊寧頓街),黃竹坑站／石排灣,swapped,0.571,0.700,0.636,
8581,4,中環,黃竹坑(星期日及假期班次),CTB-4-I,中環,黃竹坑／華富 (南),forward,1.000,0.273,0.636,
