route_id,route_short_name,gtfs_from,gtfs_to,matched_key,kmb_origin_tc,kmb_destination_tc,orientation,sim_from,sim_to,avg,reason
1000685,63,朗天苑,屯門公路轉車站(經唐人新村),KMB-63-O-1,朗天苑,屯門公路轉車站 (屯門方向),forward,1.000,0.583,0.792,
1287,68M,荃灣站,元朗(西)總站,KMB-68M-O-1,荃灣站,元朗(西),forward,1.000,0.600,0.800,
1411,960A,中環,富泰邨,KMB-960A-O-1,中環,屯門(富泰邨),forward,1.000,0.600,0.800,
8099,258S,屯門(山景邨),藍田站,KMB-258S-O-1,屯門(大興邨),藍田站,forward,0.600,1.000,0.800,
8788,285A,火炭駿洋邨,火炭站 (循環線)(上午班次),KMB-285A-O-1,火炭駿洋邨,火炭站 (循環線),forward,1.000,0.600,0.800,
1000372,N960,屯門(建生邨),灣仔(會展站),KMB-N960-O-1,屯門(建生邨),會展站,forward,1.000,0.600,0.800,
1000667,B1,天慈,落馬洲站(福田)(不經元朗),KMB-B1-O-1,天慈,落馬洲站 ‧ 福田口岸,forward,1.000,0.600,0.800,
1000680,73K,上水,文錦渡(新屋嶺)(經缸瓦甫),KMB-73K-O-1,上水,文錦渡(新屋嶺),forward,1.000,0.600,0.800,
1000689,HK2,九龍站,尖沙咀及青馬大橋,KMB-HK2-O-1,九龍站,[九巴遊香港] 尖沙咀及青馬大橋,forward,1.000,0.615,0.808,
8169,5R,啟德郵輪碼頭,觀塘(APM)(循環線),KMB-5R-O-1,啟德郵輪碼頭,觀塘 (apm) (循環線),forward,1.000,0.625,0.813,
8595,252,屯門公路轉車站,掃管笏(循環線),KMB-252-O-1,屯門公路轉車站(屯門方向),掃管笏(循環線),forward,0.636,1.000,0.818,
1000142,224X,啟業,尖沙咀東(循環線)(不停曲街),KMB-224X-O-1,啟業,尖沙咀東(循環線),forward,1.000,0.636,0.818,
1000643,NA52,屯門公路轉車站,國泰城,KMB-NA52-O-1,國泰城,屯門公路轉車站(九龍方向),swapped,0.636,1.000,0.818,
1000684,63,朗天苑,屯門公路轉車站,KMB-63-O-1,朗天苑,屯門公路轉車站 (屯門方向),forward,1.000,0.636,0.818,
1084,243P,青衣(美景花園),荃灣(荃威花園),KMB-243P-O-1,青衣(美景花園),荃威花園,forward,1.000,0.667,0.833,
1108,265B,天恒邨,旺角(柏景灣),KMB-265B-O-1,天恆邨,旺角(柏景灣),forward,0.667,1.000,0.833,
1109,265M,天恒邨,葵涌(麗瑤邨),KMB-265M-O-1,天恆邨,葵涌(麗瑤邨),forward,0.667,1.000,0.833,
1123,271,大埔(富亨),佐敦(西九龍站),KMB-271-O-1,大埔(富亨),高鐵(西九龍站),forward,1.000,0.667,0.833,
1138,276A,天恒邨,上水(太平),KMB-276A-O-1,天恆邨,上水(太平),forward,0.667,1.000,0.833,
1191,36B,梨木樹,佐敦(西九龍站),KMB-36B-O-1,梨木樹,高鐵(西九龍站),forward,1.000,0.667,0.833,
1214,42A,青衣(長亨邨),佐敦(西九龍站),KMB-42A-O-1,青衣(長亨邨),高鐵(西九龍站),forward,1.000,0.667,0.833,
1229,46,佐敦(西九龍站),葵涌(麗瑤邨),KMB-46-O-1,高鐵(西九龍站),葵涌(麗瑤邨),forward,0.667,1.000,0.833,
1269,63X,洪水橋(洪福邨),佐敦(西九龍站),KMB-63X-O-1,洪水橋(洪福邨),高鐵(西九龍站),forward,1.000,0.667,0.833,
1334,81,禾輋,佐敦(西九龍站),KMB-81-O-1,禾輋,高鐵(西九龍站),forward,1.000,0.667,0.833,
1817,A43,粉嶺(聯和墟),機場(地面運輸中心)(經國泰城),KMB-A43-O-1,粉嶺(聯和墟),機場(地面運輸中心),forward,1.000,0.667,0.833,
8009,203S,澤安邨,尖沙咀東(麼地道),KMB-203S-O-1,澤安,尖沙咀東(麼地道),forward,0.667,1.000,0.833,
1852,251M,上村,荃灣,KMB-251M-O-1,上村,荃灣站,forward,1.000,0.667,0.833,
8203,268X,洪水橋(洪福邨),佐敦(西九龍站),KMB-268X-O-1,洪水橋(洪福邨),高鐵(西九龍站),forward,1.000,0.667,0.833,
8369,A36,錦上路站,機場(地面運輸中心)(經國泰城),KMB-A36-O-1,錦上路站,機場(地面運輸中心),forward,1.000,0.667,0.833,
8373,A33X,屯門(富泰邨),機場(地面運輸中心)(經國泰城),KMB-A33X-O-1,屯門(富泰邨),機場(地面運輸中心),forward,1.000,0.667,0.833,
8413,271B,大埔(富亨),佐敦(西九龍站),KMB-271B-O-1,大埔(富亨),高鐵(西九龍站),forward,1.000,0.667,0.833,
8414,271X,佐敦(西九龍站),大埔(富亨),KMB-271X-O-1,高鐵(西九龍站),大埔(富亨),forward,0.667,1.000,0.833,
8431,E32A,東涌發展碼頭,葵芳(南),KMB-E32A-O-1,葵芳(南),東涌碼頭,swapped,0.667,1.000,0.833,
8503,252X,恒順園,藍田站,KMB-252X-O-1,恆順園,藍田站,forward,0.667,1.000,0.833,
8619,69X,天耀,佐敦(西九龍站),KMB-69X-O-2,天耀,高鐵(西九龍站),forward,1.000,0.667,0.833,
8756,W3,上水,佐敦(西九龍站),KMB-W3-O-1,上水,高鐵(西九龍站),forward,1.000,0.667,0.833,
8778,A33,屯門公路轉車站,機場(地面運輸中心)(經博覽館),KMB-A33-O-1,屯門公路轉車站,機場(地面運輸中心),forward,1.000,0.667,0.833,
8779,A37,朗屏站,機場(地面運輸中心)(經博覽館),KMB-A37-O-1,朗屏站,機場(地面運輸中心),forward,1.000,0.667,0.833,
1000064,265S,天水圍市中心,香港教育大學(經元朗),KMB-265S-O-1,天水圍市中心,香港教育大學,forward,1.000,0.667,0.833,
1000240,960X,鰂魚涌(英皇道),洪水橋(洪福邨),KMB-960X-O-1,洪水橋(洪元路),鰂魚涌(英皇道),swapped,1.000,0.667,0.833,
1000231,269X,天瑞,佐敦西九龍站,KMB-269X-O-1,天瑞,高鐵(西九龍站),forward,1.000,0.667,0.833,
1000234,78A,山麗苑,粉嶺名都,KMB-78A-O-5,山麗苑,只往粉嶺名都,forward,1.000,0.667,0.833,
1000333,268X,朗屏邨悅屏樓,佐敦(西九龍站),KMB-268X-O-3,朗屏邨悅屏樓,高鐵(西九龍站),forward,1.000,0.667,0.833,
1000420,285A,火炭站,火炭駿洋邨(循環線)(下午班次),KMB-285A-I-1,火炭站,火炭駿洋邨 (循環線),forward,1.000,0.667,0.833,
1000329,W2,佐敦(西九龍站),觀塘(循環線),KMB-W2-O-1,高鐵(西九龍站),觀塘(循環線),forward,0.667,1.000,0.833,
1000330,W2,佐敦(西九龍站),麗港公園,KMB-W2-O-2,高鐵(西九龍站),麗港公園,forward,0.667,1.000,0.833,
1000331,W2,創紀之城,佐敦(西九龍站),KMB-W2-O-3,創紀之城,高鐵(西九龍站),forward,1.000,0.667,0.833,
1000554,A47X,大埔(太和),機場(地面運輸中心)(經白石角),KMB-A47X-O-1,大埔(太和),機場(地面運輸中心),forward,1.000,0.667,0.833,
8347,S64P,翔東邨,機場(貨運及航膳區)(循環線),KMB-S64P-O-1,翔東邨,機場(貨運及航膳區),forward,1.000,0.727,0.864,
1855,B1,天慈,落馬洲站(福田),KMB-B1-O-1,天慈,落馬洲站 ‧ 福田口岸,forward,1.000,0.750,0.875,
8469,B1,媽橫路(山水樓),落馬洲站(福田),KMB-B1-O-2,媽橫路(山水樓),落馬洲站 ‧ 福田口岸,forward,1.000,0.750,0.875,
1000567,NA30,梨木樹邨,港珠澳大橋香港口岸,KMB-NA30-O-1,梨木樹,港珠澳大橋香港口岸,forward,0.750,1.000,0.875,
1000641,W4,高鐵(西九龍站),西九文化區 ‧ 尖沙咀 ‧ 高鐵站(循環線),KMB-W4-O-1,高鐵(西九龍站),西九文化區 ‧ 尖沙咀 ‧ 高鐵站,forward,1.000,0.786,0.893,
1040,14X,油塘(祟德圍),尖沙咀(循環線),KMB-14X-O-1,油塘(崇德圍),尖沙咀(循環線),forward,0.800,1.000,0.900,
1098,260B,屯門市中心,尖沙咀,KMB-260B-O-1,屯門巿中心,尖沙咀,forward,0.800,1.000,0.900,
1150,282,沙田市中心,新田圍(循環線),KMB-282-O-1,沙田巿中心,新田圍(循環線),forward,0.800,1.000,0.900,
1151,283,沙田市中心,美松苑(循環線),KMB-283-O-1,沙田巿中心,美松苑(循環線),forward,0.800,1.000,0.900,
1152,284,沙田市中心,濱景花園(循環線),KMB-284-O-1,沙田巿中心,濱景花園(循環線),forward,0.800,1.000,0.900,
1163,299X,沙田市中心,西貢,KMB-299X-O-1,沙田巿中心,西貢,forward,0.800,1.000,0.900,
1235,49P,沙田市中心,青衣碼頭,KMB-49P-O-1,沙田巿中心,青衣碼頭,forward,0.800,1.000,0.900,
1239,52X,屯門市中心,旺角(柏景灣),KMB-52X-O-1,屯門巿中心,旺角(柏景灣),forward,0.800,1.000,0.900,
1266,61X,屯門市中心,九龍城碼頭,KMB-61X-O-1,屯門巿中心,九龍城碼頭,forward,0.800,1.000,0.900,
1347,83S,黃泥頭,沙田市中心,KMB-83S-O-1,黃泥頭,沙田巿中心,forward,1.000,0.800,0.900,
1466,E33,屯門市中心,機場(地面運輸中心),KMB-E33-O-1,屯門巿中心,機場(地面運輸中心),forward,0.800,1.000,0.900,
1951,960B,屯門(建生),鰂魚涌(英皇道),KMB-960B-O-1,鰂魚涌(英皇道),屯門(建生邨),swapped,0.800,1.000,0.900,
8183,N73,沙田市中心,落馬洲,KMB-N73-O-1,沙田巿中心,落馬洲,forward,0.800,1.000,0.900,
1000270,83K,碩門邨,沙田市中心,KMB-83K-O-2,碩門邨,沙田巿中心,forward,1.000,0.800,0.900,
1121,270,翠麗花園,天平(循環線),KMB-270-O-1,翠麗花園,天平邨(循環線),forward,1.000,0.833,0.917,
8352,213X,安泰(南)(恒泰樓),尖沙咀(循環線),KMB-213X-O-1,安泰(南)(恆泰樓),尖沙咀(循環線),forward,0.833,1.000,0.917,
1050,18,往長沙灣(海達邨),愛民(循環線),KMB-18-O-1,長沙灣(海達邨),愛民(循環線),forward,0.857,1.000,0.929,
1000233,78A,皇后山,粉嶺站(循環線)(不經山麗苑),KMB-78A-O-3,皇后山,粉嶺站 (循環線) [不經山麗],forward,1.000,0.909,0.955,
1000590,270D,深水埗,粉嶺(聯和墟),KMB-270D-O-1,粉嶺(聯和墟),深水埗,swapped,1.000,1.000,1.000,
